datetime,CODNEG,adj_close
2014-10-07,EZTC3,14.0877
2014-10-08,EZTC3,13.8611
2014-10-09,EZTC3,14.2625
2014-10-10,EZTC3,14.0165
2014-10-13,EZTC3,14.5215
2014-10-14,EZTC3,14.1136
2014-10-15,EZTC3,13.6669
2014-10-16,EZTC3,13.3691
2014-10-17,EZTC3,13.4661
2014-10-20,EZTC3,13.8482
2014-10-21,EZTC3,13.4338
2014-10-22,EZTC3,13.2072
2014-10-23,EZTC3,12.7216
2014-10-24,EZTC3,13.2590
2014-10-27,EZTC3,12.5598
2014-10-28,EZTC3,13.4985
2014-10-29,EZTC3,13.5245
2014-10-30,EZTC3,13.5180
2014-10-31,EZTC3,13.7251
2014-11-03,EZTC3,13.4856
2014-11-04,EZTC3,13.5697
2014-11-05,EZTC3,13.4468
2014-11-06,EZTC3,12.9741
2014-11-07,EZTC3,13.0712
2014-11-10,EZTC3,12.7087
2014-11-11,EZTC3,13.1748
2014-11-12,EZTC3,13.9841
2014-11-13,EZTC3,13.6604
2014-11-14,EZTC3,13.5892
2014-11-17,EZTC3,13.3173
2014-11-18,EZTC3,13.4921
2014-11-19,EZTC3,14.1201
2014-11-21,EZTC3,14.5991
2014-11-24,EZTC3,14.7416
2014-11-25,EZTC3,14.3726
2014-11-26,EZTC3,14.3726
2014-11-27,EZTC3,14.5344
2014-11-28,EZTC3,14.8904
2014-12-01,EZTC3,15.1145
2014-12-02,EZTC3,15.1769
2014-12-03,EZTC3,15.0661
2014-12-04,EZTC3,15.2116
2014-12-05,EZTC3,15.3849
2014-12-08,EZTC3,15.1839
2014-12-09,EZTC3,15.1423
2014-12-10,EZTC3,15.0730
2014-12-11,EZTC3,14.9413
2014-12-12,EZTC3,14.2067
2014-12-15,EZTC3,13.8810
2014-12-16,EZTC3,13.9296
2014-12-17,EZTC3,14.2760
2014-12-18,EZTC3,14.3592
2014-12-19,EZTC3,14.6711
2014-12-22,EZTC3,14.7958
2014-12-23,EZTC3,14.8443
2014-12-26,EZTC3,14.6987
2014-12-29,EZTC3,15.0314
2014-12-30,EZTC3,15.2462
2015-01-02,EZTC3,14.9344
2015-01-05,EZTC3,14.1028
2015-01-06,EZTC3,14.4493
2015-01-07,EZTC3,14.8789
2015-01-08,EZTC3,14.8998
2015-01-09,EZTC3,14.1374
2015-01-12,EZTC3,13.6523
2015-01-13,EZTC3,14.0681
2015-01-14,EZTC3,13.9919
2015-01-15,EZTC3,13.3682
2015-01-16,EZTC3,13.6523
2015-01-19,EZTC3,13.2365
2015-01-20,EZTC3,12.8692
2015-01-21,EZTC3,13.1603
2015-01-22,EZTC3,13.7078
2015-01-23,EZTC3,13.0632
2015-01-26,EZTC3,12.6821
2015-01-27,EZTC3,12.4742
2015-01-28,EZTC3,11.5663
2015-01-29,EZTC3,11.7327
2015-01-30,EZTC3,11.3723
2015-02-02,EZTC3,11.2268
2015-02-03,EZTC3,11.4485
2015-02-04,EZTC3,11.7812
2015-02-05,EZTC3,12.1277
2015-02-06,EZTC3,11.6772
2015-02-09,EZTC3,11.6426
2015-02-10,EZTC3,11.5733
2015-02-11,EZTC3,11.1090
2015-02-12,EZTC3,11.3377
2015-02-13,EZTC3,11.7812
2015-02-18,EZTC3,11.7465
2015-02-19,EZTC3,11.7119
2015-02-20,EZTC3,11.9891
2015-02-23,EZTC3,11.6287
2015-02-24,EZTC3,11.6841
2015-02-25,EZTC3,11.9198
2015-02-26,EZTC3,12.0654
2015-02-27,EZTC3,12.1970
2015-03-02,EZTC3,12.6128
2015-03-03,EZTC3,12.8207
2015-03-04,EZTC3,12.6821
2015-03-05,EZTC3,12.8692
2015-03-06,EZTC3,12.3564
2015-03-09,EZTC3,11.9198
2015-03-10,EZTC3,11.9198
2015-03-11,EZTC3,12.1277
2015-03-12,EZTC3,12.6474
2015-03-13,EZTC3,12.1970
2015-03-16,EZTC3,12.0930
2015-03-17,EZTC3,12.4950
2015-03-18,EZTC3,12.8207
2015-03-19,EZTC3,12.9732
2015-03-20,EZTC3,13.3058
2015-03-23,EZTC3,13.5830
2015-03-24,EZTC3,13.9296
2015-03-25,EZTC3,14.0335
2015-03-26,EZTC3,13.7771
2015-03-27,EZTC3,13.9711
2015-03-30,EZTC3,14.0058
2015-03-31,EZTC3,13.9018
2015-04-01,EZTC3,14.5047
2015-04-02,EZTC3,14.3800
2015-04-06,EZTC3,14.6918
2015-04-07,EZTC3,14.3038
2015-04-08,EZTC3,14.2414
2015-04-09,EZTC3,14.4216
2015-04-10,EZTC3,14.2136
2015-04-13,EZTC3,14.3592
2015-04-14,EZTC3,14.4008
2015-04-15,EZTC3,14.3592
2015-04-16,EZTC3,14.6364
2015-04-17,EZTC3,14.3453
2015-04-20,EZTC3,13.9850
2015-04-22,EZTC3,13.8672
2015-04-23,EZTC3,13.9642
2015-04-24,EZTC3,14.3176
2015-04-27,EZTC3,14.2136
2015-04-28,EZTC3,13.6523
2015-04-29,EZTC3,13.2365
